case_id,claim_kind,claim_text,verdict,reason
case_01,other,您好，如果快递放错了快递柜，您可以尝试联系快递员重新派送，或者到放错的快递柜去取,excluded,非事实性语句（问候/建议/引导）
case_01,other,建议您先查看取件码确认具体位置,excluded,非事实性语句（问候/建议/引导）
case_01,commitment,如果无法解决，请联系我们的客服，我们会协助您处理,excluded,承诺类语句不参与事实性判定，由解决力/推进完备性指标覆盖
case_02,policy_amount,您好，关于充电宝是否能带上飞机，根据民航局规定，额定能量不超过100Wh的充电宝可以随身携带上飞机，但不能托运,supported,与民航局规定一致（≤100Wh 可随身携带、不可托运）
case_02,other,建议您查看充电宝的额定容量标识,excluded,非事实性语句（问候/建议/引导）
case_02,other,如有疑问，请咨询具体航空公司,excluded,非事实性语句（问候/建议/引导）
case_03,policy_statement,退款到账时间取决于退款方式和银行处理速度,supported,政策描述未含具体数值，与 KB 无冲突
case_03,policy_amount,一般情况下：原路退回（支付宝/微信）1-3个工作日，银行卡退款3-7个工作日，信用卡退款5-15个工作日,supported,退款到账时效与 KB 记录一致
case_03,policy_statement,您可以在订单详情页查看退款进度,supported,政策描述未含具体数值，与 KB 无冲突
case_03,policy_statement,如果超时未到账，请联系客服,supported,政策描述未含具体数值，与 KB 无冲突
case_04,other,抱歉给您带来不便,excluded,非事实性语句（问候/建议/引导）
case_04,other,蓝牙耳机出现单侧无声的情况，建议您尝试以下操作：1.将耳机放回充电盒重新配对 2.检查手机蓝牙设置中是否有单声道选项 3.尝试重启耳机,excluded,非事实性语句（问候/建议/引导）
case_04,policy_amount,如果问题仍然存在，由于在7天质保期内，您可以申请退货退款或换新,supported,与 KB 中记录的质保天数取值一致（注：该政策的取值在 KB 内存在不一致，见 README 局限 3）
case_05,other,非常抱歉让您久等了，给您带来了不好的体验,excluded,非事实性语句（问候/建议/引导）
case_05,other,我们非常重视每一位客户的感受,excluded,非事实性语句（问候/建议/引导）
case_05,other,请问您遇到了什么问题,excluded,非事实性语句（问候/建议/引导）
case_05,other,我现在就帮您处理,excluded,非事实性语句（问候/建议/引导）
case_05,commitment,同时我们会加强客服团队的培训，避免类似情况再次发生,excluded,承诺类语句不参与事实性判定，由解决力/推进完备性指标覆盖
case_06,other,您好，优惠券无法使用可能有以下原因：1.未达到使用门槛金额 2.商品不在优惠券适用范围内 3.优惠券已过期 4.优惠券已使用过,excluded,非事实性语句（问候/建议/引导）
case_06,other,请您检查优惠券的使用规则,excluded,非事实性语句（问候/建议/引导）
case_06,other,如果确认符合使用条件仍无法使用，请联系客服核实,excluded,非事实性语句（问候/建议/引导）
case_07,other,您好，异地登录提醒可能是真实的也可能是诈骗短信,excluded,非事实性语句（问候/建议/引导）
case_07,other,请您先不要点击短信中的任何链接,excluded,非事实性语句（问候/建议/引导）
case_07,other,建议您：1.直接登录我们的官方网站或APP查看登录记录 2.修改密码 3.开启二次验证功能,excluded,非事实性语句（问候/建议/引导）
case_07,other,如果确认存在异常登录，请立即联系客服冻结账号,excluded,非事实性语句（问候/建议/引导）
case_08,product_attribute,您好，这款手机壳采用的是TPU软胶材质，具有较好的防摔性能和手感,supported,与 KB 中的商品参数一致（TPU 软胶材质）
case_08,other,如果您需要更具体的材质信息，可以查看商品详情页的参数说明，或联系客服获取,excluded,非事实性语句（问候/建议/引导）
case_09,policy_statement,退货运费承担规则如下：质量问题导致的退货，运费由商家承担,supported,与政策一致：质量问题的退货运费由商家承担
case_09,policy_statement,非质量问题（如不喜欢、买错了等）的退货，运费由买家承担,supported,与政策一致：非质量问题的退货运费由买家承担
case_09,policy_statement,具体判定标准请参考我们的退换货政策,supported,政策描述未含具体数值，与 KB 无冲突
case_09,other,如有疑问请联系客服,excluded,非事实性语句（问候/建议/引导）
case_10,policy_statement,您好，订单未发货前可以申请取消,supported,政策描述未含具体数值，与 KB 无冲突
case_10,other,请您在订单详情页操作，或联系客服协助处理,excluded,非事实性语句（问候/建议/引导）
case_10,policy_amount,取消后款项会在1-3个工作日退回原支付方式,supported,退款到账时效与 KB 记录一致
case_11,policy_statement,您好，换货需要先退货再重新下单选择正确尺码,supported,政策描述未含具体数值，与 KB 无冲突
case_11,policy_statement,请分别发起两件商品的换货申请，按照退货地址寄回原商品，我们收到后会发出新尺码的商品,supported,政策描述未含具体数值，与 KB 无冲突
case_11,policy_statement,换货运费由买家承担,contradicted,无条件声明换货运费由买家承担，忽略了'质量问题由商家承担'的情形
case_12,other,物流信息长时间未更新可能是以下原因：1.包裹正在中转途中 2.快递公司信息更新延迟 3.包裹可能出现问题,excluded,非事实性语句（问候/建议/引导）
case_12,other,建议您耐心等待1-2天，如果仍未更新，请联系快递公司查询或联系我们的客服协助跟进,excluded,非事实性语句（问候/建议/引导）
case_13,other,您好，面膜的成分表可以在商品详情页查看,excluded,非事实性语句（问候/建议/引导）
case_13,other,如果您对特定成分过敏，建议您在购买前仔细核对成分表，或先购买小样进行皮肤测试,excluded,非事实性语句（问候/建议/引导）
case_13,commitment,如需更详细的成分信息，可以联系品牌官方客服,excluded,承诺类语句不参与事实性判定，由解决力/推进完备性指标覆盖
case_14,other,感谢您的宝贵建议,excluded,非事实性语句（问候/建议/引导）
