case_id,intent,score,grade,raw_score_before_gate,accuracy,groundedness,resolution,completeness,tone,n_supported,n_contradicted,n_unverifiable,human_verdict,auto_verdict,verdict_match,human_note
case_01,快递放错柜取不出,60.2,不合格,60.2,1.0,0.85,1.5,1.5,2.3,0,0,0,weak,weak,True,把责任推给了用户，没有体现主动服务意识
case_06,优惠券用不了,61.7,不合格,61.7,1.0,0.85,1.8,1.5,2.3,0,0,0,weak,weak,True,罗列了一堆可能原因但没有帮用户实际排查
case_13,面膜成分（敏感肌）,61.7,不合格,61.7,1.0,0.85,1.5,2.0,2.3,0,0,0,weak,weak,True,用户明确说皮肤敏感，回复让用户自己看详情页，没有个性化关注
case_12,物流两天没更新,62.3,不合格,62.3,1.0,0.85,1.5,1.5,3.0,0,0,0,weak,weak,True,罗列可能原因但没有帮用户查实际状态
case_07,异地登录疑似诈骗短信,64.6,不合格,64.6,1.0,0.85,2.4,1.5,2.3,0,0,0,weak,weak,True,把判断责任推给用户，且情绪安抚不够
case_20,退货流程看不懂,66.6,不合格,66.6,1.0,0.9,1.4,1.5,4.2,1,0,0,weak,weak,True,答非所问：又重复了一遍用户说搞不懂的退货流程
case_19,包什么时候补货,67.7,不合格,67.7,1.0,0.91,1.8,2.0,3.3,2,0,1,weak,weak,True,没有查具体商品，给了通用建议
case_02,充电宝能否上飞机,69.9,不合格,69.9,1.0,0.9,2.3,2.0,3.3,1,0,0,weak,weak,True,没有查具体商品，只泛泛讲了规定，需要用户自己去确认
case_11,两件衣服换尺码,71.2,需改进,71.2,0.6667,0.74,3.5,4.0,3.3,2,1,0,weak,acceptable,False,直接给通用流程，没有追问具体商品信息来帮用户处理
case_03,退款到账时间,73.8,需改进,73.8,1.0,0.95,1.8,4.0,3.0,4,0,0,acceptable,acceptable,True,通用信息本身是准确的，但没有帮用户查实际状态
case_08,手机壳材质,74.9,需改进,74.9,1.0,0.9,1.8,4.5,3.3,1,0,0,weak,acceptable,False,正确但没用：用户就是因为不想翻详情页才来问的
case_17,一条消息问两件事,77.9,需改进,77.9,1.0,0.9,3.0,3.5,3.3,1,0,0,weak,acceptable,False,没有主动帮用户查，而是让用户自己去查
case_16,两款手机哪个好,78.6,需改进,78.6,1.0,0.85,3.4,3.5,3.3,0,0,0,acceptable,acceptable,True,追问使用场景和预算基本合理，但把用户推去自己看评价
case_14,建议增加实物视频,79.0,需改进,79.0,1.0,0.85,3.0,4.5,3.1,0,0,1,good,acceptable,False,建议类反馈处理得不错，表达了感谢并承诺反馈
case_09,退货运费谁出,80.5,需改进,80.5,1.0,0.94,2.9,4.5,3.0,3,0,0,acceptable,acceptable,True,规则说明正确，但没追问具体情况；作为自动回复给出规则本身也有价值
case_04,耳机三天就坏（质保期内）,80.6,需改进,80.6,1.0,0.9,2.4,4.5,4.2,1,0,0,weak,acceptable,False,先给了一堆排查步骤，没有直接给出解决方案，增加用户操作负担
case_15,连续两次收到坏商品,80.7,需改进,80.7,1.0,0.9,2.9,4.5,3.4,1,0,0,acceptable,acceptable,True,提到了补偿，但语气和力度不够，补偿不够具体
case_10,未发货能否取消,81.0,需改进,81.0,1.0,0.925,2.9,4.5,3.3,2,0,0,acceptable,acceptable,True,基本正确，给出操作路径和退款时间；作为自动回复可接受
case_18,扫地机器人两周就坏,82.5,需改进,82.5,1.0,0.925,2.9,4.5,3.8,2,0,0,acceptable,acceptable,True,基本正确，给出质保期和方案；但没确认用户倾向哪种方案
case_05,客服等待久投诉,86.5,良好,86.5,1.0,0.85,4.0,4.5,3.9,0,0,0,weak,good,False,没有立刻帮用户解决原始问题，而是说了内部事项（加强培训）
